Time resolution is 1 ps
Time=0 clk=0 en=0 rst=1 d=0 q=0
Time=5000 clk=1 en=0 rst=1 d=0 q=0
Time=10000 clk=0 en=0 rst=0 d=0 q=0
Time=15000 clk=1 en=0 rst=0 d=0 q=0
Time=20000 clk=0 en=1 rst=0 d=1 q=0
Time=25000 clk=1 en=1 rst=0 d=1 q=1
Time=30000 clk=0 en=1 rst=0 d=1 q=1
Time=35000 clk=1 en=1 rst=0 d=1 q=1
Time=40000 clk=0 en=1 rst=0 d=0 q=1
Time=45000 clk=1 en=1 rst=0 d=0 q=0
Time=50000 clk=0 en=1 rst=0 d=0 q=0
Time=55000 clk=1 en=1 rst=0 d=0 q=0
Time=60000 clk=0 en=0 rst=0 d=1 q=0
Time=65000 clk=1 en=0 rst=0 d=1 q=0
Time=70000 clk=0 en=0 rst=0 d=1 q=0
Time=75000 clk=1 en=0 rst=0 d=1 q=0
Time=80000 clk=0 en=0 rst=0 d=0 q=0
Time=85000 clk=1 en=0 rst=0 d=0 q=0
Time=90000 clk=0 en=0 rst=0 d=0 q=0
Time=95000 clk=1 en=0 rst=0 d=0 q=0
Time=100000 clk=0 en=1 rst=0 d=1 q=0
Time=105000 clk=1 en=1 rst=0 d=1 q=1
Time=110000 clk=0 en=1 rst=0 d=1 q=1
Time=115000 clk=1 en=1 rst=0 d=1 q=1
$finish called at time : 120 ns : File "C:/Users/adity/clk_gating/clk_gating.srcs/sim_1/new/top_tb.v" Line 48
